mu_baseline,target_att,rho,study_end_week,power,mean_att,mean_se
0.7,0.02,0.7,52,0.12,0.02302741899144749,0.049475559584212084
0.7,0.02,0.5,52,0.02,0.012976082044829244,0.050088265056659795
0.7,0.02,0.9,52,0.04,0.010921494841564922,0.048401724534432755
0.7,0.05,0.5,52,0.12,0.04067995871801101,0.04892608595243277
0.7,0.05,0.7,52,0.22,0.05494239777790543,0.04908498628666056
0.7,0.05,0.9,52,0.1,0.04470030653147836,0.050113837050641104
0.7,0.08,0.5,52,0.38,0.08633442831802984,0.04848807414535318
0.7,0.08,0.7,52,0.26,0.0657107815035122,0.049299054136532544
0.7,0.1,0.5,52,0.4,0.09054646624418881,0.04958610199113462
0.7,0.08,0.9,52,0.3,0.07056999261344687,0.04967388318220129
0.7,0.1,0.7,52,0.48,0.09454841510619677,0.05082004877830833
0.7,0.1,0.9,52,0.32,0.082568004263446,0.049049378268019785
0.7,0.12,0.5,52,0.72,0.1220773200391502,0.04815277269930891
0.7,0.12,0.7,52,0.5,0.10951139361016253,0.04942432128791409
0.7,0.12,0.9,52,0.5,0.10705384522598303,0.05169026563624374
0.7,0.15,0.5,52,0.88,0.14475940721293554,0.04966578289665192
0.7,0.15,0.9,52,0.74,0.14866712953776834,0.04970138738436465
0.7,0.15,0.7,52,0.82,0.14515169522006438,0.05205322224318504
0.7,0.2,0.5,52,0.86,0.16308978483701966,0.04894546474891943
0.7,0.2,0.7,52,0.92,0.1747284085613153,0.05006640102354682
0.7,0.25,0.5,52,0.98,0.2293222473830155,0.052310642940097865
0.7,0.2,0.9,52,0.92,0.1795137917198602,0.050474959757882285
0.7,0.25,0.7,52,1.0,0.20799685009656765,0.05247609575235141
0.7,0.25,0.9,52,0.98,0.20216098422482912,0.05078216295476997
0.7,0.3,0.5,52,0.98,0.24687389602734153,0.05229169818272917
0.7,0.3,0.7,52,0.98,0.2361966513098529,0.05376695943515065
0.7,0.3,0.9,52,1.0,0.23406267235224118,0.05303201272485043
0.7,0.4,0.5,52,1.0,0.3060521642248353,0.056600130062971765
0.7,0.4,0.7,52,1.0,0.28370656996074645,0.05540760985735209
0.7,0.4,0.9,52,1.0,0.3006154542625697,0.05746666598514417
